,portfolio,sub_type,market,asset_id,quantity,ticker,market_val_usd,company,risk_exposure_usd,desc
47,Skydog,Shares,澳大利亚,FEX,3000.0,FEX,197639.962774585,FENIX,197639.962774585,FENIX RESOURCES LTD
48,Skydog,Shares,美国,GLD,600.0,GLD,101382.00073242188,SPDR GOLD SHARES,101382.00073242188,SPDR GOLD SHARES
49,Skydog,Shares,中国,GOTU,10320.0,GOTU,19917.599458694458,跟谁学,19917.599458694458,GSX TECHEDU INC- ADR - GSX US
50,Skydog,Shares,中国,IH,11750.0,IH,35484.999775886536,洪恩教育,35484.999775886536,IHUMAN INC - IH US
51,Skydog,Shares,其他,JMIA,10147.0,JMIA,125924.26845169067,Jumia,125924.26845169067,JUMIA TECHNOLOGIES AG-ADR - JMIA US
52,Skydog,Shares,中国,KWEB,12000.0,KWEB,466080.0018310547,KWEB,466080.0018310547,KraneShares CSI China Internet ETF (KWEB)
53,Skydog,Shares,中国,LAIX,64324.0,LAIX,42453.841686964035,流利说,42453.841686964035,
54,ms_terry,Fund,新兴市场,LU0236503040,1770.0,LU0236503040,767826.0,AMUNDI印度基金,,AMUNDI-SBI FM IND EQ-QI4USDC (LUX LISTING)
55,ms_terry,Fund,其它发达国家,LU0539801802,9986.684,LU0539801802,104669.50530491729,,,ALLIANCE BERNSTEIN EUROPEAN FUND (LUX LISTING)
56,ms_terry,Fund,澳大利亚,LU0898699433,13489.209,LU0898699433,108400.43390225167,,,JPM INV-GLB INCOME-A AUD (LUX LISTING)
57,Skydog,Shares,美国,MRNA,100.0,MRNA,24999.000549316406,MODERNA,24999.000549316406,MODERNA INC
58,Skydog,Shares,中国,PDD,4979.0,PDD,287338.08544158936,拼多多,287338.08544158936,PINDUODUO INC-ADR - PDD US
59,ms_terry,Forward,,Q79YE6,-11399820.0,Q79YE6,,,,CCY FRWD USD  vs. CNY(OFFSHORE) @ 6.6999 2022/03/24  REF Q79YE6
60,ms_terry,Forward,中国,Q79YE6-CNY,1.0,Q79YE6-CNY,,,,CCY FRWD CNY(OFFSHORE)  vs. USD @ 6.6999 2022/03/24  REF Q79YE6
61,ms_terry,Forward,美国,Q79YE6-USD,1.0,Q79YE6-USD,,,,CCY FRWD USD  vs. CNY(OFFSHORE) @ 6.6999 2022/03/24  REF Q79YE6
62,Skydog,Shares,美国,SCO,7500.0,SCO,100574.99885559082,SCO,100574.99885559082,PROSHARES ULTRASHORT BLOOMBE
63,ms_terry,Shares,其它发达国家,SMSN,133.0,SMSN.IL,225501.5,Samsung,,SAMSUNG ELECTRONICS
64,Skydog,Shares,其他,SPCE,10145.0,SPCE,147406.84729099274,Virgin Galactic,147406.84729099274,
65,Skydog,Shares,中国,TCOM,2900.0,TCOM,68991.0026550293,携程,68991.0026550293,TRIP.COM GROUP LTD-ADR - TCOM US
66,ms_terry,Shares,中国,TME,75011.0,TME,487571.5,腾讯音乐,487571.5,TENCENT MUSIC ENTERTAINM-ADR
67,Skydog,Shares,中国,TME,62827.0,TME,408375.5,腾讯音乐,408375.5,TENCENT MUSIC ENTERTAINM-ADR
68,Skydog,Shares,美国,WE,1000.0,WE,8039.999961853027,WeWork,8039.999961853027,WeWork Inc. (WE)
69,Skydog,Shares,美国,WISH,8148.0,WISH,29169.839378356934,Wish,29169.839378356934,
70,ms_terry,Bond,中国,XS1580431143,200000.0,XS1580431143,55679.99999999999,中国恒大集团,,CHINA EVERGRANDE GROUP 8.25% ECLEAR DUE 23MAR2022 DTD 23MAR2017 USD REGS
71,ms_terry,Bond,中国,XS1627599498,200000.0,XS1627599498,45520.0,中国恒大集团,,CHINA EVERGRANDE GROUP 7.5% ECLEAR DUE 28JUN2023 DTD 28JUN2017 USD REGS
72,ms_terry,FCN,美国,XS2218322217,1.0,XS2218322217,382280.0,INTC+QCOM,,NOM FCN INTC 48.8070 QCOM 132.7500 22 FEB 2022
73,ms_terry,FCN,中国,XS2218385057,1.0,XS2218385057,277658.7,0700.HK+9988.HK,460.20001220703125,NOM FCN 700 HK 493.6500 9988 HK 185.0400 19 JAN 2022
74,ms_terry,FCN,中国,XS2354653458,1.0,XS2354653458,224580.0,海底捞,,UBS FCN 6862 HK 34.5525 10 Jan 2022
75,Skydog,FCN,美国,XS2402837434,1.0,XS2402837434,1000000.0,Facebook,335.239990234375,JPM FCN FB 276.3150 17 MAR 2022
76,ms_terry,FCN,美国,XS2420234044,1.0,XS2420234044,1000000.0,QQQ+SPY,,C FCN QQQ 343.0946 SPY 410.0232 26 APR 2022
