ticker,refreshed_at,close,1d_chg_pct,1w_chg_pct,1m_chg_pct,1y_chg_pct
0700.HK,2022-01-21,470.6000061035156,-0.21204410242957605,-0.5914634197441537,6.230249684766509,-30.859638343216155
1024.HK,2022-01-21,88.05000305175781,-1.5651134088852436,-1.675041818963463,11.880567301247469,-70.64999898274739
1177.HK,2022-01-21,6.150000095367432,1.6528909335525421,0.0,12.637363597063867,-23.656009769200857
1358.HK,2022-01-21,0.9599999785423279,3.2258033504347416,5.494500096186172,-4.000002145767212,62.711868002578555
1565.HK,2022-01-20,0.46000000834465027,0.0,0.0,0.0,-77.34053945910104
1801.HK,2022-01-21,41.900001525878906,-2.558135986328125,-5.310731014962922,-16.69979689580712,-58.14185597943706
1810.HK,2022-01-21,18.84000015258789,-0.3174574981660738,1.0729655015467632,1.8378386626372478,-39.127626209471615
1877.HK,2022-01-21,52.20000076293945,-11.525422435695843,1.4577259259056063,20.1380894047378,-32.207791216961745
1918.HK,2022-01-21,10.819999694824219,-0.7339442798700024,17.864916504673634,-5.913046131963318,-64.18287129596185
2202.HK,2022-01-21,21.0,-1.4084471727988102,6.060610147364853,14.254629808830321,-27.16413850369993
2269.HK,2022-01-21,87.5,-4.214557787006179,-5.200436503849493,-0.5681818181818232,-23.513987034164284
2822.HK,2022-01-21,17.610000610351562,2.5626123011211366,2.5626123011211366,-1.7847166167188844,-16.776934133554423
3690.HK,2022-01-21,236.39999389648438,-0.6722714720653888,7.162278946426981,2.6041667356535347,-36.993607088146504
3759.HK,2022-01-21,112.0999984741211,0.0,-6.583334604899093,-6.4273826222776,-28.68628592035264
600519.SS,2022-01-21,1981.989990234375,0.6331476999199559,6.1590782128749355,-3.223145008087158,-3.3500321026389113
600900.SS,2022-01-21,22.979999542236328,-0.4332772175055899,2.360796264077636,4.407084521887672,24.420033006868746
6160.HK,2022-01-21,145.5,0.971543259671126,0.6920415224913601,-10.626537301880612,-33.56164383561644
9618.HK,2022-01-21,301.20001220703125,0.46698614778772907,4.947739444958632,7.879655815948405,-18.594591295396956
9888.HK,2022-01-21,157.8000030517578,-0.31585596358865153,5.270186442254898,13.525182051624318,-37.38095116993737
9926.HK,2022-01-21,24.799999237060547,-7.977741985208031,-14.038132030703487,-27.058825773351337,-53.90334648931208
9988.HK,2022-01-21,125.19999694824219,-4.790876845443204,-3.1709249858829613,8.964312694150323,-51.58546249294148
ARKK,2022-01-20,75.87000274658203,0.15841946743502255,-5.138785243618349,-22.236110260703345,-48.0005829286612
BABA,2022-01-20,131.02999877929688,2.5755448336832076,-0.25880821384467456,6.545775900655326,-50.645974010687425
BGNE,2022-01-20,251.3699951171875,6.130457521426402,6.4315365028647875,-8.679072077625472,-30.713890966106817
BIDU,2022-01-20,162.02999877929688,4.887366170746121,6.242216651600652,11.883711217158632,-37.89574451136841
BITO,2022-01-20,26.899999618530273,2.671751279415946,-0.22254995541501899,-12.775617751503155,-37.84657953502999
CASH-USD,2022-01-20,0.0016479999758303165,-2.2538585878393635,-26.917959255359058,-43.869210716807515,2221.126654332382
COIN,2022-01-20,221.6199951171875,0.9658292105637845,-2.896201522188424,-10.525256194135613,-32.49055807808049
CVAC,2022-01-20,21.850000381469727,-2.759229865736068,-19.163892614087207,-43.815889111878825,-78.3770413442955
DAO,2022-01-20,13.039999961853027,-3.8348115167563646,-2.175543612249331,9.764308385839616,-53.97105542897873
DRIV,2022-01-20,29.079999923706055,-1.7899381145578985,-6.102678177436882,-1.0198664722419148,5.873607718860252
EDU,2022-01-20,1.7000000476837158,-1.7341023733535632,-5.0279282730342985,-20.187795476718485,-90.05906049722675
EWJ,2022-01-20,65.05999755859375,-0.4437657571517595,-3.342742655786557,-2.9389844197812875,-4.417133024211739
EWZ,2022-01-20,30.1299991607666,0.8029433791199025,4.654387643720281,10.131127233797098,-10.253263239418764
FB,2022-01-20,316.55999755859375,-0.9480893688841752,-3.038474973633165,-5.278280671488966,18.349029668155016
FEX,2022-01-20,86.81999969482422,-1.2511356881597768,-3.9708039175644028,-3.323926541730604,13.324881854399218
GLD,2022-01-20,171.64999389648438,-0.24988838330701757,0.8756406924706583,2.772116815702219,-2.1323938116079355
GOTU,2022-01-20,2.1500000953674316,5.911336239847675,30.30303796570284,9.137059093556775,-96.92637571241315
IH,2022-01-20,2.75,2.99625173858038,-9.539472549080507,-6.779662523760033,-85.86118307388489
JMIA,2022-01-20,8.899999618530273,0.33821570866119366,-9.644677422821612,-31.48576000502753,-79.62920600073116
KWEB,2022-01-20,38.380001068115234,4.26514435276113,4.978117140208371,-3.9058528097958845,-56.890933848872336
LAIX,2022-01-20,0.5,0.0,-7.4074110867063165,-27.536231633670894,-67.32026082681384
MRNA,2022-01-20,167.52000427246094,-3.7628556190946405,-20.29309333780369,-37.52517523649016,33.866074068654804
PDD,2022-01-20,66.12000274658203,2.750589455216157,14.751829177826803,11.482045549838338,-61.324286295071374
SCO,2022-01-20,10.25,0.9852254702272356,-7.823740058566919,-27.715093234104582,-74.11616061879786
SMSN.IL,2022-01-20,1618.5,1.2828535669586971,-1.6109422492401215,-1.1603053435114474,-17.10309182053118
SPCE,2022-01-20,9.100000381469727,0.11001351720536512,-9.272177230915746,-37.79904094130979,-71.58913291201353
TCOM,2022-01-20,25.209999084472656,7.413718883784104,4.475756159420197,7.003394125349893,-27.096594130794028
TME,2022-01-20,6.739999771118164,-1.1730263714014644,-2.7417036353088786,5.642627746391393,-74.17624646510205
WE,2022-01-20,9.199999809265137,-2.1276576317181495,-5.349798801215721,14.713208031792302,-21.90152786238917
